name speaker count
michael dwight 301
michael pam 288
michael jim 204
michael michael 200
michael jan 164
michael kevin 73
michael oscar 72
michael david 68
michael phyllis 63
michael darryl 58
andy erin 114
andy michael 74
andy dwight 70
andy jim 59
andy andy 53
andy pam 40
andy robert 35
andy darryl 32
andy oscar 32
andy phyllis 30
erin andy 90
erin michael 43
erin dwight 23
erin gabe 20
erin pam 18
erin erin 18
erin pete 10
erin kevin 10
erin robert 8
erin oscar 8
jim dwight 317
jim michael 252
jim pam 205
jim jim 54
jim andy 49
jim kevin 40
jim kelly 26
jim david 23
jim darryl 23
jim ryan 21
pam michael 362
pam jim 209
pam dwight 111
pam pam 81
pam kevin 45
pam andy 36
pam angela 30
pam erin 28
pam oscar 25
pam roy 24
dwight michael 367
dwight jim 278
dwight pam 139
dwight dwight 121
dwight andy 83
dwight angela 81
dwight nellie 39
dwight phyllis 36
dwight erin 28
dwight oscar 26
ryan michael 152
ryan dwight 51
ryan kelly 48
ryan jim 36
ryan pam 32
ryan ryan 11
ryan andy 8
ryan darryl 7
ryan toby 6
ryan kevin 6
robert andy 28
robert dwight 21
robert jim 19
robert michael 14
robert nellie 10
robert angela 10
robert ryan 8
robert oscar 8
robert pam 7
robert kevin 4
jan michael 170
jan pam 32
jan dwight 29
jan jim 10
jan andy 9
jan kevin 8
jan angela 7
jan toby 6
jan oscar 6
jan david 6
roy pam 28
roy michael 24
roy jim 20
roy darryl 7
roy angela 5
roy oscar 4
roy kevin 4
roy karen 3
roy toby 2
roy kelly 2
stanley michael 143
stanley dwight 42
stanley jim 24
stanley andy 19
stanley pam 19
stanley phyllis 13
stanley stanley 10
stanley oscar 7
stanley ryan 5
stanley erin 5
kevin michael 99
kevin dwight 43
kevin jim 43
kevin angela 42
kevin oscar 37
kevin pam 36
kevin andy 26
kevin kevin 23
kevin darryl 13
kevin robert 8
meredith michael 76
meredith dwight 22
meredith pam 21
meredith jim 15
meredith angela 14
meredith andy 11
meredith meredith 10
meredith kelly 6
meredith erin 6
meredith holly 6
angela dwight 63
angela michael 53
angela pam 49
angela oscar 46
angela andy 35
angela kevin 28
angela jim 22
angela phyllis 14
angela angela 10
angela erin 9
oscar michael 111
oscar kevin 39
oscar dwight 32
oscar pam 28
oscar angela 28
oscar andy 21
oscar jim 16
oscar toby 8
oscar oscar 6
oscar robert 5
phyllis michael 132
phyllis dwight 45
phyllis jim 38
phyllis pam 31
phyllis andy 23
phyllis angela 18
phyllis kevin 7
phyllis nellie 7
phyllis erin 6
phyllis oscar 5
kelly ryan 45
kelly michael 38
kelly jim 24
kelly dwight 22
kelly pam 14
kelly kelly 14
kelly erin 10
kelly andy 9
kelly angela 8
kelly oscar 7
toby michael 111
toby dwight 24
toby pam 19
toby jim 16
toby andy 11
toby kelly 9
toby oscar 9
toby toby 8
toby jan 6
toby angela 6
creed michael 35
creed creed 14
creed jim 9
creed darryl 9
creed dwight 8
creed pam 7
creed andy 6
creed kevin 5
creed oscar 4
creed ryan 3
darryl michael 61
darryl andy 45
darryl dwight 24
darryl pam 14
darryl darryl 13
darryl erin 13
darryl jim 12
darryl kelly 10
darryl kevin 9
darryl toby 7
holly michael 92
holly holly 16
holly dwight 12
holly pam 8
holly jim 6
holly erin 6
holly kevin 4
holly david 2
holly ryan 2
holly angela 2
gabe erin 28
gabe gabe 20
gabe michael 20
gabe andy 17
gabe dwight 15
gabe jo 7
gabe darryl 6
gabe jim 6
gabe pam 4
gabe oscar 3
nellie dwight 15
nellie robert 12
nellie andy 11
nellie jim 10
nellie pam 10
nellie erin 5
nellie oscar 3
nellie toby 3
nellie nellie 3
nellie angela 2
clark dwight 10
clark andy 9
clark jim 4
clark pam 3
clark clark 3
clark pete 3
clark phyllis 1
clark nellie 1
clark toby 1
clark angela 1
pete erin 17
pete andy 9
pete jim 7
pete kevin 5
pete toby 4
pete pete 3
pete co-worker 2
pete clark 2
pete alice 2
pete michael 2
todd michael 89
todd dwight 17
todd jim 8
todd packer 8
todd pam 8
todd nellie 7
todd kevin 5
todd holly 4
todd california 4
todd andy 4
david michael 110
david dwight 57
david andy 41
david jim 29
david erin 8
david pam 8
david jan 7
david david 7
david oscar 5
david charles 5
karen jim 20
karen michael 19
karen dwight 8
karen pam 7
karen karen 6
karen kevin 4
karen andy 3
karen josh 2
karen rolando 2
karen toby 1
charles michael 23
charles angela 8
charles dwight 7
charles jim 5
charles pam 4
charles david 3
charles andy 2
charles charles 2
charles kelly 2
charles everyone 1
jo michael 54
jo dwight 22
jo jim 20
jo pam 14
jo kevin 12
jo andy 12
jo gabe 10
jo jan 8
jo todd 5
jo jo 5
senator angela 45
senator oscar 22
senator senator 17
senator dwight 8
senator kevin 4
senator erin 3
senator pam 2
senator photographer 2
senator michael 2
senator reporter 1
deangelo deangelo 5
deangelo michael 4
deangelo pam 3
deangelo angela 3
deangelo erin 3
deangelo kelly 3
deangelo oscar 3
deangelo jim 3
deangelo andy 2
deangelo kevin 2
val darryl 3
val gabe 3
val dwight 2
val andy 1
val david 1
cathy dwight 11
cathy pam 6
cathy jim 5
cathy andy 2
cathy kelly 2
cathy kathy 1
cathy clark 1
cathy meredith 1
cathy florida 1
cathy michael 1
danny michael 11
danny jim 3
danny dwight 3
danny kevin 3
danny andy 2
danny danny 2
danny creed 2
danny steve 1
danny meredith 1
