speaker object count
 michael andy 74 
 michael erin 43 
 michael jim 252 
 michael pam 362 
 michael michael 200 
 michael dwight 367 
 michael ryan 152 
 michael robert 13 
 michael jan 170 
 michael roy 24 
 michael stanley 143 
 michael kevin 99 
 michael meredith 76 
 michael angela 53 
 michael oscar 111 
 michael phyllis 132 
 michael kelly 38 
 michael toby 111 
 michael creed 35 
 michael darryl 61 
 michael holly 92 
 michael gabe 20 
 michael nellie 1 
 michael clark 0 
 michael pete 2 
 michael todd 89 
 michael david 110 
 michael karen 19 
 michael charles 23 
 michael jo 8 
 michael senator 2 
 michael deangelo 4 
 michael val 0 
 michael cathy 1 
 michael danny 11

 andy andy 53 
 andy erin 90 
 andy jim 49 
 andy pam 36 
 andy michael 49 
 andy dwight 83 
 andy ryan 8 
 andy robert 18 
 andy jan 9 
 andy roy 0 
 andy stanley 19 
 andy kevin 26 
 andy meredith 11 
 andy angela 35 
 andy oscar 21 
 andy phyllis 24 
 andy kelly 9 
 andy toby 11 
 andy creed 6 
 andy darryl 45 
 andy holly 1 
 andy gabe 17 
 andy nellie 11 
 andy clark 9 
 andy pete 9 
 andy todd 4 
 andy david 41 
 andy karen 3 
 andy charles 2 
 andy jo 1 
 andy senator 1 
 andy deangelo 2 
 andy val 1 
 andy cathy 2 
 andy danny 2

 erin andy 114 
 erin erin 18 
 erin jim 16 
 erin pam 28 
 erin michael 40 
 erin dwight 28 
 erin ryan 3 
 erin robert 2 
 erin jan 0 
 erin roy 0 
 erin stanley 5 
 erin kevin 4 
 erin meredith 6 
 erin angela 9 
 erin oscar 5 
 erin phyllis 6 
 erin kelly 10 
 erin toby 2 
 erin creed 2 
 erin darryl 13 
 erin holly 6 
 erin gabe 28 
 erin nellie 5 
 erin clark 1 
 erin pete 17 
 erin todd 2 
 erin david 8 
 erin karen 0 
 erin charles 0 
 erin jo 0 
 erin senator 3 
 erin deangelo 3 
 erin val 0 
 erin cathy 0 
 erin danny 0

 jim andy 59 
 jim erin 4 
 jim jim 54 
 jim pam 209 
 jim michael 204 
 jim dwight 278 
 jim ryan 36 
 jim robert 11 
 jim jan 10 
 jim roy 20 
 jim stanley 24 
 jim kevin 43 
 jim meredith 15 
 jim angela 22 
 jim oscar 16 
 jim phyllis 38 
 jim kelly 24 
 jim toby 16 
 jim creed 9 
 jim darryl 12 
 jim holly 6 
 jim gabe 6 
 jim nellie 10 
 jim clark 4 
 jim pete 7 
 jim todd 8 
 jim david 29 
 jim karen 20 
 jim charles 5 
 jim jo 2 
 jim senator 0 
 jim deangelo 3 
 jim val 0 
 jim cathy 5 
 jim danny 3

 pam andy 40 
 pam erin 18 
 pam jim 205 
 pam pam 81 
 pam michael 288 
 pam dwight 139 
 pam ryan 32 
 pam robert 4 
 pam jan 32 
 pam roy 28 
 pam stanley 19 
 pam kevin 36 
 pam meredith 21 
 pam angela 49 
 pam oscar 28 
 pam phyllis 31 
 pam kelly 14 
 pam toby 19 
 pam creed 7 
 pam darryl 14 
 pam holly 8 
 pam gabe 4 
 pam nellie 10 
 pam clark 3 
 pam pete 1 
 pam todd 8 
 pam david 8 
 pam karen 7 
 pam charles 4 
 pam jo 1 
 pam senator 2 
 pam deangelo 3 
 pam val 0 
 pam cathy 6 
 pam danny 0

 dwight andy 70 
 dwight erin 23 
 dwight jim 317 
 dwight pam 111 
 dwight michael 302 
 dwight dwight 121 
 dwight ryan 51 
 dwight robert 12 
 dwight jan 29 
 dwight roy 0 
 dwight stanley 42 
 dwight kevin 43 
 dwight meredith 22 
 dwight angela 63 
 dwight oscar 32 
 dwight phyllis 45 
 dwight kelly 22 
 dwight toby 24 
 dwight creed 8 
 dwight darryl 24 
 dwight holly 12 
 dwight gabe 15 
 dwight nellie 15 
 dwight clark 10 
 dwight pete 1 
 dwight todd 17 
 dwight david 57 
 dwight karen 8 
 dwight charles 7 
 dwight jo 3 
 dwight senator 8 
 dwight deangelo 1 
 dwight val 2 
 dwight cathy 11 
 dwight danny 3

 ryan andy 3 
 ryan erin 5 
 ryan jim 21 
 ryan pam 16 
 ryan michael 49 
 ryan dwight 18 
 ryan ryan 11 
 ryan robert 2 
 ryan jan 3 
 ryan roy 1 
 ryan stanley 5 
 ryan kevin 8 
 ryan meredith 0 
 ryan angela 2 
 ryan oscar 2 
 ryan phyllis 3 
 ryan kelly 45 
 ryan toby 2 
 ryan creed 3 
 ryan darryl 5 
 ryan holly 2 
 ryan gabe 1 
 ryan nellie 2 
 ryan clark 0 
 ryan pete 0 
 ryan todd 2 
 ryan david 3 
 ryan karen 1 
 ryan charles 0 
 ryan jo 0 
 ryan senator 1 
 ryan deangelo 1 
 ryan val 0 
 ryan cathy 0 
 ryan danny 0

 robert andy 35 
 robert erin 8 
 robert jim 21 
 robert pam 6 
 robert michael 0 
 robert dwight 8 
 robert ryan 1 
 robert robert 2 
 robert jan 0 
 robert roy 0 
 robert stanley 0 
 robert kevin 8 
 robert meredith 1 
 robert angela 1 
 robert oscar 5 
 robert phyllis 2 
 robert kelly 3 
 robert toby 2 
 robert creed 1 
 robert darryl 2 
 robert holly 0 
 robert gabe 2 
 robert nellie 12 
 robert clark 0 
 robert pete 0 
 robert todd 0 
 robert david 1 
 robert karen 0 
 robert charles 1 
 robert jo 1 
 robert senator 1 
 robert deangelo 0 
 robert val 0 
 robert cathy 0 
 robert danny 0

 jan andy 1 
 jan erin 0 
 jan jim 6 
 jan pam 14 
 jan michael 164 
 jan dwight 11 
 jan ryan 5 
 jan robert 0 
 jan jan 5 
 jan roy 0 
 jan stanley 0 
 jan kevin 0 
 jan meredith 0 
 jan angela 2 
 jan oscar 0 
 jan phyllis 1 
 jan kelly 1 
 jan toby 6 
 jan creed 1 
 jan darryl 1 
 jan holly 1 
 jan gabe 0 
 jan nellie 0 
 jan clark 0 
 jan pete 0 
 jan todd 1 
 jan david 7 
 jan karen 0 
 jan charles 0 
 jan jo 0 
 jan senator 0 
 jan deangelo 0 
 jan val 0 
 jan cathy 0 
 jan danny 0

 roy andy 0 
 roy erin 0 
 roy jim 4 
 roy pam 24 
 roy michael 1 
 roy dwight 0 
 roy ryan 0 
 roy robert 0 
 roy jan 0 
 roy roy 1 
 roy stanley 0 
 roy kevin 0 
 roy meredith 0 
 roy angela 1 
 roy oscar 0 
 roy phyllis 1 
 roy kelly 0 
 roy toby 0 
 roy creed 0 
 roy darryl 5 
 roy holly 0 
 roy gabe 0 
 roy nellie 0 
 roy clark 0 
 roy pete 0 
 roy todd 0 
 roy david 0 
 roy karen 0 
 roy charles 0 
 roy jo 0 
 roy senator 0 
 roy deangelo 0 
 roy val 0 
 roy cathy 0 
 roy danny 0

 stanley andy 4 
 stanley erin 0 
 stanley jim 6 
 stanley pam 3 
 stanley michael 28 
 stanley dwight 8 
 stanley ryan 4 
 stanley robert 0 
 stanley jan 2 
 stanley roy 0 
 stanley stanley 10 
 stanley kevin 2 
 stanley meredith 1 
 stanley angela 0 
 stanley oscar 1 
 stanley phyllis 2 
 stanley kelly 2 
 stanley toby 0 
 stanley creed 1 
 stanley darryl 0 
 stanley holly 1 
 stanley gabe 0 
 stanley nellie 0 
 stanley clark 0 
 stanley pete 1 
 stanley todd 1 
 stanley david 3 
 stanley karen 0 
 stanley charles 1 
 stanley jo 0 
 stanley senator 0 
 stanley deangelo 1 
 stanley val 0 
 stanley cathy 0 
 stanley danny 0

 kevin andy 21 
 kevin erin 10 
 kevin jim 40 
 kevin pam 45 
 kevin michael 73 
 kevin dwight 13 
 kevin ryan 6 
 kevin robert 2 
 kevin jan 8 
 kevin roy 4 
 kevin stanley 3 
 kevin kevin 23 
 kevin meredith 5 
 kevin angela 28 
 kevin oscar 39 
 kevin phyllis 7 
 kevin kelly 3 
 kevin toby 4 
 kevin creed 5 
 kevin darryl 9 
 kevin holly 4 
 kevin gabe 2 
 kevin nellie 2 
 kevin clark 0 
 kevin pete 5 
 kevin todd 5 
 kevin david 0 
 kevin karen 4 
 kevin charles 0 
 kevin jo 1 
 kevin senator 4 
 kevin deangelo 2 
